ds,yhat_lower,yhat_upper,yhat,y
1890-01-06,-0.476201772,0.02210638,-0.219489004,-0.3594
1890-02-06,-0.471707938,0.021666762,-0.225919477,-0.4268
1890-03-06,-0.456703401,0.059192963,-0.192814318,-0.3189
1890-04-06,-0.459243145,0.060857531,-0.191175425,-0.2588
1890-05-06,-0.448460888,0.090995079,-0.190168602,-0.3892
1890-06-06,-0.482467649,0.04881506,-0.206691204,-0.2875
1890-07-06,-0.462327613,0.061754081,-0.206606979,-0.2802
1890-08-06,-0.444321858,0.052145986,-0.208186601,-0.3257
1890-09-06,-0.453089144,0.070688044,-0.193489929,-0.3508
1890-10-06,-0.449997155,0.062799905,-0.205488462,-0.2941
1890-11-06,-0.489295775,0.03960149,-0.216469185,-0.3419
1890-12-06,-0.423123498,0.094167641,-0.176143756,-0.2302
1891-01-06,-0.474160585,0.047901993,-0.222547242,-0.3772
1891-02-06,-0.470410499,0.026488985,-0.22720189,-0.5228
1891-03-06,-0.454944072,0.074934187,-0.198338685,-0.212
1891-04-06,-0.460267513,0.041164954,-0.198579849,-0.2523
1891-05-06,-0.446444904,0.074094877,-0.199067342,-0.1374
1891-06-06,-0.471861968,0.056755126,-0.210644938,-0.2023
1891-07-06,-0.470029415,0.040677777,-0.210806238,-0.2264
1891-08-06,-0.459944693,0.064844568,-0.21189446,-0.2313
1891-09-06,-0.45171965,0.052895676,-0.2012735,-0.1514
1891-10-06,-0.470661404,0.039923511,-0.210104712,-0.2861
1891-11-06,-0.472798198,0.042368004,-0.218437529,-0.3968
1891-12-06,-0.465951992,0.068289828,-0.190426282,-0.0421
1892-01-06,-0.485781985,0.021239931,-0.22541974,-0.2372
1892-02-06,-0.485995321,0.029392643,-0.228466089,-0.1353
1892-03-06,-0.457802666,0.057915173,-0.204109313,-0.3032
1892-04-06,-0.441504255,0.073017514,-0.198594238,-0.3203
1892-05-06,-0.439845826,0.071934687,-0.194238766,-0.3081
1892-06-06,-0.466955397,0.02583885,-0.220530522,-0.2831
1892-07-06,-0.462275076,0.045154942,-0.220171091,-0.3497
1892-08-06,-0.459825614,0.026668033,-0.222913649,-0.3279
1892-09-06,-0.446179925,0.075793027,-0.200018131,-0.2198
1892-10-06,-0.479421833,0.043490223,-0.218169576,-0.2464
1892-11-06,-0.49601026,0.020553533,-0.234846048,-0.4728
1892-12-06,-0.433312574,0.080865871,-0.169597961,-0.4708
1893-01-06,-0.497074308,0.030768351,-0.238256799,-0.6796
1893-02-06,-0.538339849,0.010382555,-0.246625936,-0.6107
1893-03-06,-0.457425581,0.073422957,-0.209413537,-0.2218
1893-04-06,-0.45958374,0.056954682,-0.205854625,-0.35
1893-05-06,-0.479616734,0.064683209,-0.20323301,-0.3421
1893-06-06,-0.50245085,0.053607195,-0.224662092,-0.2405
1893-07-06,-0.494090006,0.042829059,-0.224404837,-0.2018
1893-08-06,-0.494401928,0.037148859,-0.226535804,-0.3281
1893-09-06,-0.472159393,0.050418619,-0.207746328,-0.2587
1893-10-06,-0.477345402,0.027865263,-0.222852521,-0.2099
1893-11-06,-0.483816473,0.014040143,-0.236614846,-0.1657
1893-12-06,-0.449944136,0.074469243,-0.183873479,-0.2452
1894-01-06,-0.514207178,0.036094378,-0.241502126,-0.436
1894-02-06,-0.501447297,-0.007697279,-0.2479326,-0.2215
1894-03-06,-0.473905043,0.053326615,-0.214827441,-0.2064
1894-04-06,-0.487701988,0.054463427,-0.213188547,-0.3023
1894-05-06,-0.470941239,0.047004553,-0.212181724,-0.3018
1894-06-06,-0.487216702,0.023775807,-0.228704326,-0.3487
1894-07-06,-0.502750913,0.033110071,-0.228620102,-0.2738
1894-08-06,-0.493892279,0.010936226,-0.230199724,-0.2735
1894-09-06,-0.46185408,0.054495149,-0.215503052,-0.2531
1894-10-06,-0.468911514,0.033006501,-0.227501584,-0.2135
1894-11-06,-0.490597856,0.011897475,-0.238482307,-0.2979
1894-12-06,-0.461359723,0.054266906,-0.198156879,-0.2412
1895-01-06,-0.501867453,-0.001977435,-0.244560365,-0.4389
1895-02-06,-0.510931803,0.014671698,-0.249215013,-0.4136
1895-03-06,-0.469617223,0.042345224,-0.220351807,-0.2879
1895-04-06,-0.479190584,0.024002,-0.220592971,-0.1868
1895-05-06,-0.484121585,0.038571182,-0.221080465,-0.2076
1895-06-06,-0.48430827,0.037019507,-0.23265806,-0.2938
1895-07-06,-0.489978113,0.022818543,-0.232819361,-0.201
1895-08-06,-0.497618481,0.029611303,-0.233907582,-0.2243
1895-09-06,-0.470867519,0.027955403,-0.223286623,-0.1329
1895-10-06,-0.485102635,0.006186819,-0.232117834,-0.1317
1895-11-06,-0.498840435,0.024112862,-0.240450652,-0.1602
1895-12-06,-0.476491418,0.022747474,-0.212439404,-0.069
1896-01-06,-0.512433092,0.008902552,-0.247432863,-0.1056
1896-02-06,-0.51111728,0.025283711,-0.250479211,-0.0789
1896-03-06,-0.500647455,0.019722219,-0.226122435,-0.2079
1896-04-06,-0.481385765,0.038592044,-0.220607361,-0.266
1896-05-06,-0.467639602,0.032197204,-0.216251888,-0.1042
1896-06-06,-0.492863905,0.021853581,-0.242543645,-0.0925
1896-07-06,-0.493351044,0.049873076,-0.242184214,-0.0509
1896-08-06,-0.503875114,0.018621834,-0.244926771,-0.0723
1896-09-06,-0.466902693,0.021513121,-0.222031253,-0.0679
1896-10-06,-0.493035307,-0.003025438,-0.240182698,-0.0056
1896-11-06,-0.5127943,0.000535879,-0.256859171,-0.1659
1896-12-06,-0.456236115,0.065973432,-0.191611083,0.049
1897-01-06,-0.506022818,-0.00932668,-0.260269922,-0.1857
1897-02-06,-0.532944996,-0.005879525,-0.268639058,-0.1086
1897-03-06,-0.490626467,0.006391766,-0.231426659,-0.1863
1897-04-06,-0.477753167,0.01920948,-0.227867747,-0.0032
1897-05-06,-0.473110913,0.013143309,-0.225246133,-0.0256
1897-06-06,-0.513964922,0.009078524,-0.246675214,-0.1
1897-07-06,-0.512467838,-0.000207674,-0.24641796,-0.0401
1897-08-06,-0.52096069,-8.61E-05,-0.248548927,-0.0735
1897-09-06,-0.480214715,0.031600892,-0.22975945,-0.0247
1897-10-06,-0.518014307,0.013854994,-0.244865643,-0.1608
1897-11-06,-0.511701696,0.00553087,-0.258627968,-0.2619
1897-12-06,-0.45941534,0.07251411,-0.205886602,-0.2989
1898-01-06,-0.512532012,-0.034789337,-0.263515249,-0.0399
1898-02-06,-0.508225656,-0.010651133,-0.269945722,-0.2785
1898-03-06,-0.499401356,0.005343422,-0.236840563,-0.6515
1898-04-06,-0.486421899,0.033949846,-0.23520167,-0.3467
1898-05-06,-0.502214033,0.023780614,-0.234194846,-0.2887
1898-06-06,-0.517668378,0.013819255,-0.250717449,-0.2078
1898-07-06,-0.513239619,0.016662776,-0.250633224,-0.2426
1898-08-06,-0.525661409,0.000627225,-0.252212846,-0.2306
1898-09-06,-0.498821228,0.020579285,-0.237516174,-0.1968
1898-10-06,-0.500589501,0.021057073,-0.249514707,-0.3234
1898-11-06,-0.521946291,-0.010818405,-0.260495429,-0.2417
1898-12-06,-0.478193987,0.033589551,-0.220170001,-0.0073
1899-01-06,-0.502002959,-0.004391598,-0.266573487,-0.1005
1899-02-06,-0.522866709,-0.013407536,-0.271228135,-0.2787
1899-03-06,-0.492518139,0.032967415,-0.24236493,-0.2549
1899-04-06,-0.482237216,0.005925764,-0.242606093,-0.1946
1899-05-06,-0.494670088,0.015605655,-0.243093587,-0.1203
1899-06-06,-0.504651002,0.000715656,-0.254671182,-0.1977
1899-07-06,-0.51133087,0.002509234,-0.254832483,-0.1259
1899-08-06,-0.515435826,-0.021311942,-0.255920704,-0.0664
1899-09-06,-0.479761951,0.005412173,-0.245299745,-0.0307
1899-10-06,-0.483124395,0.010973562,-0.254130957,-0.0241
1899-11-06,-0.500154554,-0.004340502,-0.262463774,0.1523
1899-12-06,-0.501222335,0.035045785,-0.234452526,-0.1656
1900-01-06,-0.518701644,-0.032204197,-0.269445985,-0.2404
1900-02-06,-0.526438562,-0.024144337,-0.272492333,-0.0934
1900-03-06,-0.527009929,-0.010793726,-0.248000336,-0.0402
1900-04-06,-0.509377917,0.019681669,-0.250077849,-0.0985
1900-05-06,-0.49892341,0.022450716,-0.251938002,-0.0371
1900-06-06,-0.510350959,0.006536235,-0.258537409,-0.045
1900-07-06,-0.523543541,0.009100103,-0.25901825,-0.0728
1900-08-06,-0.506442881,-0.012566578,-0.259674603,-0.0708
1900-09-06,-0.513806272,0.009917478,-0.253108437,-0.06
1900-10-06,-0.501528852,0.001965611,-0.258715487,0.0464
1900-11-06,-0.518479533,-0.0139664,-0.26453505,-0.1345
1900-12-06,-0.511077445,-0.006895262,-0.248725453,0.032
1901-01-06,-0.528959972,-0.016670226,-0.272134393,-0.1259
1901-02-06,-0.529949764,-0.015989297,-0.2737444,-0.0741
1901-03-06,-0.519335101,-0.00703618,-0.253747148,-0.0327
1901-04-06,-0.510174095,-0.006859701,-0.257613639,-0.0646
1901-05-06,-0.520608818,-0.007322432,-0.260723835,-0.1248
1901-06-06,-0.532121091,0.009282928,-0.262317282,-0.1273
1901-07-06,-0.498002892,-0.013117279,-0.263193072,-0.1563
1901-08-06,-0.520904713,-0.015854624,-0.263476568,-0.1299
1901-09-06,-0.513905821,0.022249512,-0.260940479,-0.2059
1901-10-06,-0.529730984,-0.000944299,-0.263269417,-0.2786
1901-11-06,-0.521338006,-0.027810401,-0.266711131,-0.1425
1901-12-06,-0.511514892,0.000312851,-0.262980093,-0.2372
1902-01-06,-0.527712168,-0.005868305,-0.274640665,-0.0856
1902-02-06,-0.53887685,-0.012661524,-0.27499045,-0.0409
1902-03-06,-0.522685387,0.004299805,-0.259605526,-0.1954
1902-04-06,-0.527142473,-0.006847499,-0.265210042,-0.2697
1902-05-06,-0.529202837,-0.017819725,-0.269446934,-0.2616
1902-06-06,-0.511270759,-0.018505396,-0.266012115,-0.3324
1902-07-06,-0.514028311,-0.013327879,-0.26735952,-0.2902
1902-08-06,-0.517474933,-5.91E-05,-0.267328542,-0.2643
1902-09-06,-0.520654668,-0.017167251,-0.268794058,-0.2315
1902-10-06,-0.530016257,0.000983572,-0.267793887,-0.2821
1902-11-06,-0.531422194,-0.019713092,-0.268993723,-0.343
1902-12-06,-0.516815035,-0.032324285,-0.277207812,-0.3592
1903-01-06,-0.525897516,-0.006594812,-0.276967054,-0.2101
1903-02-06,-0.524905555,0.003408145,-0.276236623,-0.08
1903-03-06,-0.51874846,-0.024395152,-0.265575415,-0.2755
1903-04-06,-0.531637808,-0.038342101,-0.272863522,-0.354
1903-05-06,-0.545702949,-0.023546413,-0.278103258,-0.3912
1903-06-06,-0.523615454,-0.019404184,-0.269623376,-0.3759
1903-07-06,-0.519520475,-0.026453864,-0.271520189,-0.334
1903-08-06,-0.51901151,-0.003225656,-0.271232388,-0.4296
1903-09-06,-0.537210661,-0.04714084,-0.276667318,-0.3756
1903-10-06,-0.543627307,-0.025188446,-0.272290061,-0.4357
1903-11-06,-0.502689146,0.000434458,-0.271384355,-0.395
1903-12-06,-0.550377219,-0.026505254,-0.291400034,-0.3861
1904-01-06,-0.519246161,-0.001567164,-0.279116115,-0.5416
1904-02-06,-0.538011968,0.004916573,-0.277489072,-0.467
1904-03-06,-0.531630605,-0.033460461,-0.270013458,-0.5129
1904-04-06,-0.538912625,-0.007469936,-0.272090972,-0.4717
1904-05-06,-0.536150172,-0.019334367,-0.273951124,-0.4282
1904-06-06,-0.543884795,-0.03540641,-0.280550531,-0.4403
1904-07-06,-0.548625333,-0.02067653,-0.281031373,-0.4597
1904-08-06,-0.539001483,-0.004291452,-0.281687726,-0.4314
1904-09-06,-0.530566614,-0.01189835,-0.275121559,-0.4632
1904-10-06,-0.540945239,-0.007824617,-0.28072861,-0.4066
1904-11-06,-0.557758485,-0.034097742,-0.286548172,-0.1686
1904-12-06,-0.534227029,-0.016223357,-0.270738575,-0.2414
1905-01-06,-0.543036838,-0.030533203,-0.294147515,-0.354
1905-02-06,-0.573136719,-0.044481083,-0.295757522,-0.6187
1905-03-06,-0.540342983,-0.023397525,-0.275760271,-0.394
1905-04-06,-0.535779323,-0.044209441,-0.279626762,-0.4481
1905-05-06,-0.53909062,-0.027666982,-0.282736957,-0.2879
1905-06-06,-0.530367556,-0.025304705,-0.284330405,-0.2503
1905-07-06,-0.550787399,-0.00990941,-0.285206194,-0.1918
1905-08-06,-0.534666844,-0.006965321,-0.28548969,-0.2275
1905-09-06,-0.527379906,-0.046724425,-0.282953602,-0.2239
1905-10-06,-0.534212272,-0.018503287,-0.285282539,-0.296
1905-11-06,-0.520953099,-0.038527966,-0.288724254,-0.0916
1905-12-06,-0.554683553,-0.030028303,-0.284993215,-0.1334
1906-01-06,-0.535680738,-0.032392164,-0.296653787,-0.1755
1906-02-06,-0.567676409,-0.043963485,-0.297003572,-0.2379
1906-03-06,-0.531602186,-0.001202169,-0.281618649,-0.1484
1906-04-06,-0.530066853,-0.028335452,-0.287223165,-0.0514
1906-05-06,-0.552590422,-0.026096162,-0.291072734,-0.2166
1906-06-06,-0.543033921,-0.01864619,-0.287237682,-0.1768
1906-07-06,-0.549692272,-0.030728606,-0.288197765,-0.2467
1906-08-06,-0.542248008,-0.015916,-0.287766554,-0.2362
1906-09-06,-0.555167016,-0.005544711,-0.288831837,-0.3053
1906-10-06,-0.560490918,-0.015519215,-0.287444343,-0.2809
1906-11-06,-0.540250197,-0.025340121,-0.288243946,-0.3676
1906-12-06,-0.546081633,-0.062652112,-0.296070712,-0.165
1907-01-06,-0.549758399,-0.038805126,-0.295429722,-0.3443
1907-02-06,-0.565465387,-0.037347728,-0.294299057,-0.4038
1907-03-06,-0.536761919,-0.01578433,-0.283276349,-0.276
1907-04-06,-0.562316726,-0.011946604,-0.290164222,-0.3508
1907-05-06,-0.550168049,-0.02675098,-0.295016636,-0.4669
1907-06-06,-0.541764078,-0.019741476,-0.286136521,-0.3742
1907-07-06,-0.560713562,-0.035215247,-0.287646011,-0.3547
1907-08-06,-0.542071781,-0.022891067,-0.286957977,-0.3378
1907-09-06,-0.548688718,-0.054034741,-0.291992675,-0.3364
1907-10-06,-0.552593868,-0.034422569,-0.287228095,-0.3047
1907-11-06,-0.533313773,-0.048734833,-0.285922156,-0.5055
1907-12-06,-0.567532447,-0.054028268,-0.305550513,-0.3922
1908-01-06,-0.556601427,-0.022354665,-0.29286636,-0.36
1908-02-06,-0.531636998,-0.025682781,-0.290839085,-0.3753
1908-03-06,-0.527273582,-0.01482318,-0.282989059,-0.6041
1908-04-06,-0.540969529,-0.024122902,-0.284666339,-0.4832
1908-05-06,-0.524334022,-0.029738146,-0.286139169,-0.3982
1908-06-06,-0.543372415,-0.043766451,-0.292338343,-0.4062
1908-07-06,-0.562106117,-0.034826665,-0.292431862,-0.3874
1908-08-06,-0.547374846,-0.027840234,-0.292687982,-0.4787
1908-09-06,-0.550908427,-0.026286992,-0.285721582,-0.3973
1908-10-06,-0.548803769,-0.040893469,-0.290941311,-0.5169
1908-11-06,-0.539140039,-0.026679667,-0.29636064,-0.4833
1908-12-06,-0.538807929,-0.006273409,-0.280163721,-0.3846
1909-01-06,-0.562122252,-0.063741716,-0.303172428,-0.5499
1909-02-06,-0.553451869,-0.037305414,-0.304382201,-0.4563
1909-03-06,-0.56152771,-0.039583478,-0.284023449,-0.5399
1909-04-06,-0.551791916,-0.011363619,-0.287489707,-0.5264
1909-05-06,-0.550534004,-0.034646863,-0.29021258,-0.4512
1909-06-06,-0.546668758,-0.029104226,-0.291405795,-0.4145
1909-07-06,-0.544422618,-0.054914376,-0.291894262,-0.435
1909-08-06,-0.545182622,-0.036922953,-0.291777525,-0.3052
1909-09-06,-0.538579097,-0.038399985,-0.288841203,-0.3611
1909-10-06,-0.554273807,-0.030978305,-0.290782818,-0.3935
1909-11-06,-0.558649471,-0.064330049,-0.2938243,-0.2733
1909-12-06,-0.537810601,-0.055427721,-0.289705939,-0.4071
1910-01-06,-0.566957042,-0.035979845,-0.300966277,-0.3035
1910-02-06,-0.557376293,-0.044484057,-0.300915829,-0.3627
1910-03-06,-0.539832972,-0.034047454,-0.285169405,-0.4202
1910-04-06,-0.538590126,-0.039311037,-0.290373688,-0.339
1910-05-06,-0.554013098,-0.028049429,-0.294223257,-0.2999
1910-06-06,-0.552681382,-0.025120877,-0.290388205,-0.3525
1910-07-06,-0.554707758,-0.037739958,-0.291348288,-0.3264
1910-08-06,-0.548761541,-0.042672892,-0.290917077,-0.3325
1910-09-06,-0.557120763,-0.033862899,-0.29198236,-0.3322
1910-10-06,-0.524252127,-0.026822728,-0.289942103,-0.4199
1910-11-06,-0.554609491,-0.031653336,-0.290067183,-0.4956
1910-12-06,-0.552392099,-0.054533224,-0.297241186,-0.5626
1911-01-06,-0.539283849,-0.01315977,-0.295925674,-0.5067
1911-02-06,-0.537174091,-0.031261835,-0.294120487,-0.5265
1911-03-06,-0.541192962,0.009619451,-0.282488533,-0.5697
1911-04-06,-0.56244221,-0.045327121,-0.288701884,-0.5099
1911-05-06,-0.554006307,-0.026046848,-0.292901535,-0.4775
1911-06-06,-0.533684527,-0.0099763,-0.283346897,-0.4443
1911-07-06,-0.561277617,-0.005796138,-0.284203624,-0.4658
1911-08-06,-0.53295111,-0.03250435,-0.282841068,-0.4541
1911-09-06,-0.526531481,-0.044838969,-0.287201243,-0.3983
1911-10-06,-0.537021283,-0.030464521,-0.2817839,-0.3433
1911-11-06,-0.539936102,-0.037464509,-0.279803438,-0.2571
1911-12-06,-0.567849778,-0.045888853,-0.298779032,-0.2456
1912-01-06,-0.544028405,-0.028558833,-0.285420357,-0.2791
1912-02-06,-0.537806316,-0.033168594,-0.282718559,-0.1091
1912-03-06,-0.523191059,-0.012279236,-0.274237529,-0.3123
1912-04-06,-0.535526404,-0.020763358,-0.275240287,-0.2027
1912-05-06,-0.525436091,-0.007449181,-0.276060354,-0.2257
1912-06-06,-0.538733093,-0.001440929,-0.281585006,-0.26
1912-07-06,-0.538513047,-0.027158042,-0.281025761,-0.314
1912-08-06,-0.54016506,-0.015349438,-0.280607359,-0.4516
1912-09-06,-0.525168578,-0.024423391,-0.272966437,-0.5056
1912-10-06,-0.541743463,-0.015474625,-0.277533402,-0.5185
1912-11-06,-0.535709509,-0.0234998,-0.282278209,-0.4122
1912-12-06,-0.52280298,-0.023346808,-0.265428526,-0.3553
1913-01-06,-0.530348068,-0.017105399,-0.287762711,-0.3513
1913-02-06,-0.557201596,-0.020971067,-0.288297963,-0.3899
1913-03-06,-0.520609375,-0.0015826,-0.267329965,-0.4077
1913-04-06,-0.531414628,-0.016827042,-0.2701217,-0.3506
1913-05-06,-0.556478085,-0.020036928,-0.27219181,-0.394
1913-06-06,-0.512443409,-0.006682808,-0.272710502,-0.3779
1913-07-06,-0.522515628,-0.013503888,-0.272546206,-0.3534
1913-08-06,-0.510517235,-0.008028656,-0.271754947,-0.328
1913-09-06,-0.564504085,-0.016446108,-0.268144103,-0.3562
1913-10-06,-0.527615304,-0.017349964,-0.269432954,-0.3112
1913-11-06,-0.523544231,0.007770678,-0.271799914,-0.1371
1913-12-06,-0.52092575,-0.01578123,-0.267028789,-0.0374
1914-01-06,-0.515373137,-0.030217145,-0.277614606,0.0961
1914-02-06,-0.540320768,-0.003284635,-0.276889635,-0.1203
1914-03-06,-0.523975187,0.009704048,-0.260533965,-0.1633
1914-04-06,-0.548462851,-0.019905336,-0.265063726,-0.2481
