,ds,yhat_lower,yhat_upper,yhat,y
651,4/6/34,-0.340656343,0.161736069,-0.079063369,-0.2318
652,5/6/34,-0.353062366,0.188539774,-0.0820775,-0.0444
653,6/6/34,-0.3408751,0.169455395,-0.077379162,-0.0025
654,7/6/34,-0.328675456,0.176402958,-0.077503806,-0.0894
655,8/6/34,-0.334270646,0.181056283,-0.076209309,-0.0548
656,9/6/34,-0.352754608,0.181790051,-0.076411306,-0.1226
657,10/6/34,-0.328911483,0.212771251,-0.074188374,-0.0693
658,11/6/34,-0.339946627,0.187486086,-0.07412469,0.0128
659,12/6/34,-0.337144728,0.165878731,-0.081116018,-0.0256
660,1/6/35,-0.336755733,0.179921342,-0.079611741,-0.2894
661,2/6/35,-0.354507086,0.176894582,-0.07761779,0.1659
662,3/6/35,-0.319593427,0.187882898,-0.06581534,-0.1475
663,4/6/35,-0.34212497,0.172955387,-0.071839926,-0.2567
664,5/6/35,-0.319440747,0.176054097,-0.075856902,-0.2038
665,6/6/35,-0.330193343,0.216549955,-0.066113501,-0.1706
666,7/6/35,-0.334619546,0.207241774,-0.066787553,-0.1155
667,8/6/35,-0.319102746,0.182975242,-0.065236232,-0.1003
668,9/6/35,-0.33078615,0.183672789,-0.069407643,-0.0916
669,10/6/35,-0.33679346,0.18638922,-0.063807625,-0.013
670,11/6/35,-0.324076581,0.195035817,-0.0616384,-0.2707
671,12/6/35,-0.349448876,0.196539319,-0.080431318,-0.1769
672,1/6/36,-0.321750167,0.191806731,-0.06688388,-0.2547
673,2/6/36,-0.336826745,0.182135562,-0.063993318,-0.3137
674,3/6/36,-0.289488674,0.183053876,-0.055335702,-0.2107
675,4/6/36,-0.320332237,0.197839208,-0.056149696,-0.1789
676,5/6/36,-0.320646112,0.212801981,-0.056787087,-0.1178
677,6/6/36,-0.303421418,0.205905912,-0.062122975,-0.1075
678,7/6/36,-0.313246299,0.191733363,-0.061381056,-0.0139
679,8/6/36,-0.323117802,0.201886215,-0.06077389,-0.0557
680,9/6/36,-0.311619824,0.184698936,-0.052944204,-0.0389
681,10/6/36,-0.296358057,0.205570188,-0.057328493,-0.0224
682,11/6/36,-0.304037503,0.187810995,-0.061884536,-0.0275
683,12/6/36,-0.310665822,0.221760478,-0.044852179,-0.0193
684,1/6/37,-0.320456538,0.198741933,-0.0669976,-0.1684
685,2/6/37,-0.314632188,0.201827199,-0.067344087,0.0385
686,3/6/37,-0.305367657,0.205730657,-0.046205592,-0.1823
687,4/6/37,-0.287922166,0.197381141,-0.048808564,-0.1262
688,5/6/37,-0.308657697,0.214166562,-0.050695999,-0.0187
689,6/6/37,-0.31101559,0.224467979,-0.051025927,0.0126
690,7/6/37,-0.302281595,0.208595215,-0.050678956,-0.0004
691,8/6/37,-0.290248377,0.200592627,-0.049698932,0.093
692,9/6/37,-0.283518064,0.234803524,-0.045899324,0.1316
693,10/6/37,-0.308449655,0.199775969,-0.047005501,0.1137
694,11/6/37,-0.330386861,0.207801093,-0.049183696,0.0099
695,12/6/37,-0.307820845,0.225250113,-0.044229897,-0.0919
696,1/6/38,-0.295148381,0.191496515,-0.05462695,-0.0378
697,2/6/38,-0.291570236,0.220703546,-0.053713215,-0.054
698,3/6/38,-0.309824525,0.218240711,-0.037187048,0.0308
699,4/6/38,-0.279693181,0.218938688,-0.041528045,0.0428
700,5/6/38,-0.310490148,0.219191883,-0.044542176,-0.019
701,6/6/38,-0.30296687,0.214286708,-0.039843838,-0.0939
702,7/6/38,-0.313653459,0.215762421,-0.039968482,-0.0505
703,8/6/38,-0.312143593,0.209295862,-0.038673985,-0.0149
704,9/6/38,-0.29609577,0.206699119,-0.038875982,0.0293
705,10/6/38,-0.285661184,0.225382745,-0.03665305,0.0724
706,11/6/38,-0.287506276,0.207021095,-0.036589366,0.0039
707,12/6/38,-0.314385903,0.206710949,-0.043580694,-0.2541
708,1/6/39,-0.302853006,0.215297598,-0.042076418,-0.1665
709,2/6/39,-0.302263701,0.219764458,-0.040082466,-0.1137
710,3/6/39,-0.27305405,0.240345192,-0.028280016,-0.1897
711,4/6/39,-0.298963219,0.224944629,-0.034304603,-0.1319
712,5/6/39,-0.290352739,0.207343723,-0.038321579,-0.0366
713,6/6/39,-0.299641844,0.225429854,-0.028578177,-0.0077
714,7/6/39,-0.286620326,0.224395741,-0.029252229,0.0061
715,8/6/39,-0.28837512,0.238795024,-0.027700909,0.0555
716,9/6/39,-0.294594632,0.237665433,-0.03187232,0.0111
717,10/6/39,-0.291022159,0.232748447,-0.026272302,-0.0427
718,11/6/39,-0.280839768,0.22666916,-0.024103076,0.044
719,12/6/39,-0.295600478,0.217296616,-0.042895995,0.4057
720,1/6/40,-0.292300591,0.220651263,-0.029348556,-0.1226
721,2/6/40,-0.279336599,0.224988508,-0.026457994,0.0514
722,3/6/40,-0.281718349,0.238878051,-0.017800378,0.0671
723,4/6/40,-0.272444064,0.254285871,-0.018614372,0.1286
724,5/6/40,-0.280282501,0.237133401,-0.019251764,0.0556
725,6/6/40,-0.277535949,0.218883086,-0.024587652,0.1039
726,7/6/40,-0.270461373,0.245736708,-0.023845732,0.1459
727,8/6/40,-0.306696699,0.235751255,-0.023238566,0.0902
728,9/6/40,-0.274172519,0.23578058,-0.01540888,0.1483
